instance,id_repeticion,alpha,beta,bound,crossoverRate,elitism,interAttemptRate,interMutationRate,intraMutationRate,populationSize,probBestIndividual,probReversal,probSingle
p08,0,150,0.01,2.0,1.0,0.20,20,0.25,0.2,500,0.9,0.0,0.33
p08,1,200,0.001,2.5,1.0,0.15,20,0.2,0.25,400,0.8,1.0,0.75
p08,2,200,0.5,4.0,1.0,0.15,20,1.0,0.2,200,0.7,0.50,0.75
p08,3,50,10.0,1.0,1.0,0.01,10,1.0,0.25,400,1.0,0.25,0.0
p08,4,150,0.1,2.0,1.0,0.01,5,0.25,0.2,400,0.7,0.33,0.33
p08,5,10,0.01,1.0,1.0,0.20,20,0.5,1.0,500,1.0,0.25,0.75
p08,6,10,0.001,1.0,0.6,0.01,10,0.25,0.2,400,0.7,0.33,0.33
p08,7,10,0.5,4.0,1.0,0.01,10,0.1,0.25,200,1.0,0.75,0.0
p08,8,50,0.05,0.5,1.0,0.01,1,0.2,0.2,200,0.8,0.33,1.0
p08,9,50,0.1,1.5,1.0,0.01,20,0.25,0.5,100,0.7,0.50,0.33
p11,0,150,0.01,2.0,1.0,0.05,2,0.5,0.5,800,0.9,0.50,1.0
p11,1,50,0.1,1.5,1.0,0.20,1,1.0,0.25,500,0.8,0.75,0.0
p11,2,100,0.01,2.0,1.0,0.01,1,0.25,0.75,200,0.6,0.0,1.0
p11,3,10,0.001,1.0,1.0,0.20,5,1.0,0.75,400,1.0,0.25,0.33
p11,4,200,0.001,2.5,1.0,0.15,2,0.25,0.5,100,0.7,1.0,0.75
p11,5,200,0.1,2.0,1.0,0.1,10,0.75,0.1,400,0.8,0.25,0.25
p11,6,100,0.001,1.0,0.75,0.05,20,0.75,0.75,100,0.9,0.50,0.75
p11,7,100,0.05,2.5,1.0,0.01,10,1.0,0.25,200,0.6,0.50,0.0
p11,8,50,0.1,1.0,1.0,0.01,1,1.0,0.5,200,0.8,0.50,1.0
p11,9,200,0.1,1.0,0.75,0.1,5,1.0,0.75,100,1.0,1.0,0.50
p12,0,200,0.001,1.5,1.0,0.1,5,0.2,0.2,800,1.0,0.25,0.33
p12,1,100,10.0,3.0,1.0,0.15,2,0.5,1.0,400,0.7,0.75,0.50
p12,2,100,0.001,4.0,1.0,0.01,2,0.2,0.2,200,0.7,0.75,1.0
p12,3,50,0.1,2.0,0.75,0.15,1,0.1,0.2,1000,0.7,0.50,0.50
p12,4,50,0.01,2.0,1.0,0.05,2,0.75,0.25,800,0.6,0.33,0.50
p12,5,50,0.001,2.0,1.0,0.15,1,0.75,1.0,400,0.6,0.33,1.0
p12,6,50,0.01,1.0,1.0,0.01,1,0.5,0.75,1000,0.8,0.33,1.0
p12,7,100,10.0,2.0,0.6,0.20,1,0.1,0.75,500,0.7,0.75,0.25
p12,8,100,10.0,1.5,1.0,0.15,5,0.75,0.1,800,0.9,0.33,0.50
p12,9,10,0.1,1.5,0.6,0.1,2,0.5,0.5,800,0.9,0.50,0.25
p13,0,50,1.0,2.5,0.75,0.1,2,0.2,0.2,2000,1.0,0.33,0.50
p13,1,50,0.5,2.5,1.0,0.05,2,0.1,0.5,2000,1.0,0.33,0.50
p13,2,150,0.1,1.0,0.6,0.01,1,0.75,0.75,1000,0.7,0.50,0.0
p13,3,100,0.1,2.0,1.0,0.15,1,0.75,0.2,500,0.8,0.75,0.75
p13,4,10,0.05,4.0,0.5,0.20,10,0.25,0.25,800,0.6,0.33,1.0
p13,5,10,0.05,2.5,1.0,0.20,20,0.5,1.0,400,0.7,0.33,0.25
p13,6,100,10.0,1.5,1.0,0.01,5,0.75,0.75,1000,0.8,0.33,0.75
p13,7,10,0.1,2.5,0.6,0.20,1,0.25,0.5,500,0.7,1.0,0.50
p13,8,50,0.01,2.5,1.0,0.01,2,0.2,0.75,50,0.8,0.0,0.75
p13,9,10,1.0,1.0,0.6,0.20,20,0.25,1.0,400,1.0,0.50,0.25
p15,0,100,0.05,2.0,1.0,0.20,5,0.5,0.5,50,0.7,0.50,0.0
p15,1,150,0.001,2.0,0.75,0.15,2,0.75,0.25,400,0.9,0.33,1.0
p15,2,10,0.01,4.0,1.0,0.05,10,1.0,0.1,200,0.7,1.0,0.50
p15,3,50,0.05,2.0,1.0,0.1,10,0.75,0.25,400,1.0,0.50,0.75
p15,4,10,0.5,1.0,1.0,0.05,1,0.75,0.2,500,1.0,0.50,0.50
p15,5,150,1.0,2.0,0.75,0.05,1,0.5,0.1,50,0.8,0.50,0.33
p15,6,10,0.001,1.0,1.0,0.01,5,0.75,0.75,100,0.9,0.33,1.0
p15,7,150,0.1,4.0,1.0,0.15,1,0.25,0.75,100,0.9,0.50,0.25
p15,8,100,1.0,1.0,0.75,0.05,2,0.5,0.5,200,1.0,0.75,0.75
p15,9,100,0.001,2.5,1.0,0.01,2,0.25,0.5,100,0.7,0.25,1.0
p16,0,100,0.05,2.5,1.0,0.1,20,0.1,0.5,100,0.6,0.50,0.33
p16,1,50,0.05,0.5,1.0,0.15,2,0.5,0.75,200,0.8,0.75,0.33
p16,2,150,0.5,0.5,1.0,0.01,5,0.5,0.5,50,0.9,0.50,0.33
p16,3,100,0.05,1.5,1.0,0.1,10,0.75,0.25,400,1.0,0.50,0.50
p16,4,10,0.05,0.5,1.0,0.15,1,0.75,0.2,400,0.6,0.75,0.25
p16,5,50,0.5,2.5,0.6,0.01,5,0.25,0.2,400,0.8,0.33,0.33
p16,6,10,1.0,4.0,1.0,0.20,10,0.75,1.0,50,0.6,1.0,0.50
p16,7,10,0.001,0.5,1.0,0.05,10,0.1,0.75,50,1.0,0.50,0.75
p16,8,100,0.5,0.5,1.0,0.01,20,1.0,0.75,100,1.0,0.50,1.0
p16,9,50,0.05,0.5,1.0,0.01,5,0.75,0.75,800,0.6,0.0,1.0
p17,0,100,0.05,0.5,0.6,0.05,5,0.5,0.5,100,1.0,1.0,0.33
p17,1,200,10.0,0.5,1.0,0.05,20,0.2,0.75,50,0.8,0.33,0.50
p17,2,150,1.0,0.5,1.0,0.05,2,0.5,1.0,200,0.9,0.50,1.0
p17,3,200,0.5,0.5,1.0,0.01,2,0.2,0.2,400,0.8,0.75,0.75
p17,4,100,0.1,0.5,1.0,0.01,1,0.1,0.2,400,1.0,1.0,0.25
p17,5,10,0.5,0.5,1.0,0.1,1,0.25,0.25,200,0.6,1.0,0.50
p17,6,200,0.05,0.5,1.0,0.05,20,1.0,0.25,100,0.6,0.75,0.25
p17,7,200,0.1,0.5,1.0,0.01,1,0.2,1.0,200,0.7,0.25,1.0
p17,8,150,0.5,0.5,1.0,0.05,10,0.2,0.2,100,0.7,0.75,1.0
p17,9,100,10.0,0.5,0.6,0.05,1,0.25,0.5,50,0.7,0.50,0.75
p21,0,150,10.0,1.5,0.6,0.1,1,0.5,0.5,50,0.7,1.0,1.0
p21,1,150,0.001,1.0,0.75,0.1,2,1.0,0.5,50,0.9,1.0,0.50
p21,2,150,0.001,4.0,1.0,0.05,20,1.0,0.2,100,0.7,1.0,0.75
p21,3,50,10.0,1.5,0.6,0.20,2,1.0,1.0,50,1.0,0.50,0.33
p21,4,50,0.01,1.5,1.0,0.1,1,0.75,1.0,100,0.8,1.0,0.33
p21,5,100,0.01,1.5,0.75,0.01,1,0.75,0.5,100,0.9,0.50,0.75
p21,6,150,10.0,1.5,1.0,0.05,1,0.75,0.75,100,0.8,0.33,0.75
p21,7,10,0.05,1.5,1.0,0.01,2,0.5,0.75,100,1.0,0.50,0.75
p21,8,10,0.05,2.5,1.0,0.01,1,0.2,0.2,100,0.7,0.75,1.0
p21,9,200,0.05,3.0,0.6,0.15,5,1.0,0.25,50,0.6,0.75,1.0
p22,0,10,10.0,2.5,1.0,0.1,1,0.5,0.5,50,0.7,0.50,0.0
p22,1,150,10.0,1.5,0.75,0.1,2,1.0,0.5,100,0.9,1.0,0.33
p22,2,150,0.5,1.0,1.0,0.15,1,0.75,0.5,50,1.0,0.75,0.25
p22,3,50,10.0,1.5,0.6,0.20,2,1.0,1.0,50,1.0,0.50,0.33
p22,4,100,0.001,1.0,1.0,0.15,2,0.75,1.0,100,0.8,0.50,0.50
p22,5,10,0.05,1.0,1.0,0.01,1,0.25,0.25,100,0.6,0.50,1.0
p22,6,100,10.0,2.0,1.0,0.20,1,0.75,0.75,50,0.8,0.75,0.75
p22,7,10,0.05,1.5,1.0,0.01,2,0.5,0.75,100,1.0,0.50,0.75
p22,8,10,10.0,2.0,1.0,0.05,1,1.0,1.0,100,0.8,0.25,0.0
p22,9,50,0.001,3.0,0.6,0.15,10,1.0,0.25,50,0.6,1.0,0.33
p23,0,10,10.0,3.0,0.6,0.1,1,0.5,0.5,50,0.7,0.50,0.0
p23,1,10,10.0,2.0,0.75,0.1,2,0.5,0.5,50,0.7,0.75,0.33
p23,2,150,1.0,4.0,1.0,0.05,20,1.0,0.2,200,0.7,1.0,1.0
p23,3,50,1.0,1.5,1.0,0.1,10,0.1,0.75,100,0.8,0.50,1.0
p23,4,50,10.0,1.0,1.0,0.15,1,0.75,1.0,100,0.6,0.50,0.33
p23,5,150,0.05,1.0,0.75,0.01,1,1.0,0.25,100,0.8,0.75,1.0
p23,6,150,0.1,1.0,0.75,0.05,1,0.1,0.25,50,0.8,0.50,0.50
p23,7,200,0.01,1.0,1.0,0.15,2,1.0,0.75,50,1.0,1.0,0.75
p23,8,10,0.1,1.5,0.5,0.01,2,0.75,0.2,100,0.9,0.75,0.33
p23,9,50,10.0,3.0,0.75,0.1,1,0.75,0.5,50,1.0,1.0,0.25
pr01,0,200,0.001,2.0,0.5,0.15,20,1.0,1.0,50,0.7,0.75,0.75
pr01,1,50,0.01,1.5,0.6,0.15,5,0.25,1.0,200,0.8,1.0,0.75
pr01,2,200,0.5,2.5,0.5,0.05,1,0.25,0.5,100,0.9,0.75,0.0
pr01,3,10,10.0,4.0,0.2,0.01,5,0.1,0.25,200,0.7,0.75,0.33
pr01,4,100,0.01,4.0,0.6,0.20,10,0.5,1.0,400,0.7,0.33,0.75
pr01,5,100,0.05,0.5,1.0,0.05,20,0.1,0.2,50,0.8,0.50,0.0
pr01,6,100,0.1,0.5,0.6,0.1,20,0.1,0.2,1000,0.7,1.0,0.0
pr01,7,50,0.01,1.0,0.5,0.1,5,1.0,0.5,100,0.9,0.75,0.0
pr01,8,200,0.1,2.5,0.6,0.20,2,0.2,1.0,2000,0.9,0.33,1.0
pr01,9,100,0.05,1.5,1.0,0.01,20,0.5,0.5,100,0.7,0.33,0.0
pr02,0,150,0.1,2.5,0.4,0.15,1,0.75,1.0,800,0.8,0.75,1.0
pr02,1,100,0.1,3.0,1.0,0.20,2,0.75,0.5,800,0.6,0.50,0.25
pr02,2,10,0.001,4.0,0.75,0.15,1,1.0,0.25,200,0.8,0.50,0.25
pr02,3,10,0.001,4.0,1.0,0.05,1,0.75,0.1,800,1.0,1.0,1.0
pr02,4,200,0.05,2.5,0.75,0.05,1,0.75,0.25,800,0.7,0.33,0.50
pr02,5,150,0.1,1.5,1.0,0.01,1,0.5,0.25,400,0.8,0.50,0.50
pr02,6,10,0.001,2.5,0.6,0.05,1,0.2,0.75,100,0.6,1.0,0.0
pr02,7,100,0.01,3.0,0.5,0.05,1,0.5,1.0,400,0.8,0.33,0.75
pr02,8,10,0.001,1.0,0.75,0.05,1,1.0,1.0,1000,0.8,0.0,0.25
pr02,9,50,0.001,2.5,0.6,0.01,1,0.75,0.2,400,0.8,0.33,0.25
pr03,0,50,0.001,2.0,0.6,0.1,1,0.5,0.5,50,0.7,0.50,0.0
pr03,1,10,10.0,2.5,0.75,0.05,10,0.75,0.5,100,0.9,0.75,0.33
pr03,2,10,0.01,4.0,1.0,0.05,10,1.0,0.2,200,0.7,1.0,0.50
pr03,3,10,0.05,1.0,0.6,0.15,1,0.2,0.75,100,0.8,0.50,1.0
pr03,4,100,0.5,1.0,0.5,0.05,2,0.75,0.75,400,0.8,0.50,1.0
pr03,5,200,10.0,1.5,0.75,0.01,1,0.5,0.25,500,0.8,0.50,0.25
pr03,6,50,10.0,3.0,0.6,0.15,5,0.25,0.75,200,0.8,0.33,0.33
pr03,7,200,0.1,4.0,1.0,0.01,10,0.2,1.0,100,0.6,0.33,0.75
pr03,8,100,0.01,1.0,0.6,0.05,1,0.2,0.5,400,0.9,0.33,0.50
pr03,9,50,10.0,1.0,0.6,0.1,20,0.5,0.5,100,0.6,0.50,0.25
pr04,0,150,0.1,2.5,1.0,0.1,1,0.75,0.25,400,0.6,0.75,0.33
pr04,1,150,0.05,3.0,0.75,0.15,2,0.5,0.25,200,0.9,0.75,0.33
pr04,2,50,0.1,1.5,0.6,0.15,1,1.0,1.0,200,0.7,0.0,0.50
pr04,3,150,0.5,1.0,1.0,0.20,2,0.2,0.2,400,0.7,0.75,0.0
pr04,4,200,0.001,1.0,1.0,0.15,1,0.75,0.75,100,0.9,0.50,1.0
pr04,5,100,1.0,2.0,1.0,0.1,2,0.25,0.75,400,1.0,0.25,0.50
pr04,6,50,1.0,0.5,1.0,0.01,2,0.2,0.2,100,0.6,1.0,0.50
pr04,7,200,0.01,3.0,0.5,0.05,1,1.0,1.0,400,0.8,0.75,1.0
pr04,8,200,0.1,3.0,1.0,0.05,10,0.2,0.1,500,0.6,0.75,1.0
pr04,9,100,0.05,4.0,1.0,0.01,1,0.5,0.5,400,0.6,0.25,0.0
pr05,0,100,10.0,2.0,1.0,0.15,10,1.0,0.5,200,0.8,0.75,0.75
pr05,1,10,0.001,1.0,1.0,0.01,1,1.0,0.2,50,0.9,1.0,0.75
pr05,2,150,10.0,1.5,1.0,0.20,10,1.0,0.75,200,0.7,0.25,0.75
pr05,3,10,1.0,1.0,0.75,0.20,2,0.5,0.5,100,0.7,1.0,0.33
pr05,4,10,0.5,1.0,1.0,0.1,2,0.75,1.0,400,0.9,0.0,1.0
pr05,5,10,0.1,4.0,1.0,0.15,10,0.75,1.0,100,0.6,0.25,0.75
pr05,6,50,0.5,2.0,1.0,0.15,5,0.25,0.75,200,1.0,0.33,0.75
pr05,7,50,1.0,1.5,1.0,0.15,10,1.0,0.5,200,0.8,0.75,0.75
pr05,8,50,1.0,1.5,1.0,0.20,2,0.2,0.25,500,1.0,0.0,1.0
pr05,9,100,10.0,1.0,1.0,0.15,1,0.75,0.2,400,1.0,0.50,0.33
pr06,0,10,10.0,0.5,1.0,0.1,2,0.5,1.0,200,0.6,0.33,0.50
pr06,1,200,10.0,1.0,0.75,0.15,2,1.0,1.0,50,0.7,1.0,0.50
pr06,2,10,1.0,0.5,1.0,0.1,1,0.1,0.5,200,0.7,0.50,0.0
pr06,3,10,1.0,1.5,1.0,0.20,10,0.1,0.2,400,0.8,0.50,0.50
pr06,4,100,10.0,1.0,1.0,0.15,5,0.75,0.1,400,0.6,0.75,0.50
pr06,5,10,10.0,2.5,1.0,0.15,20,0.75,1.0,200,0.6,0.25,0.75
pr06,6,50,10.0,0.5,1.0,0.1,2,1.0,0.75,200,0.9,1.0,0.33
pr06,7,10,10.0,1.0,1.0,0.15,20,1.0,0.5,200,0.7,0.50,0.33
pr06,8,10,10.0,1.0,1.0,0.20,20,0.2,1.0,400,1.0,0.0,1.0
pr06,9,150,10.0,0.5,1.0,0.1,1,1.0,0.1,200,0.9,0.33,0.33
pr07,0,150,10.0,2.5,0.2,0.05,1,0.5,0.5,1000,0.6,1.0,1.0
pr07,1,10,10.0,3.0,0.6,0.20,1,0.5,0.5,800,0.7,0.33,0.50
pr07,2,10,0.5,1.0,0.75,0.1,1,0.25,0.5,100,0.8,1.0,0.33
pr07,3,10,10.0,2.5,0.5,0.15,1,0.5,0.1,400,0.6,0.50,0.0
pr07,4,50,0.5,1.0,0.75,0.1,2,0.75,0.5,1000,1.0,1.0,1.0
pr07,5,200,10.0,1.5,0.75,0.01,2,0.5,0.5,400,0.7,0.25,0.75
pr07,6,10,10.0,1.5,0.6,0.01,1,0.5,0.25,100,0.7,0.33,0.50
pr07,7,200,10.0,1.0,0.75,0.20,2,1.0,0.2,200,0.7,0.25,0.50
pr07,8,200,10.0,1.0,0.6,0.05,2,0.5,1.0,100,0.9,0.33,1.0
pr07,9,150,10.0,3.0,0.5,0.01,1,1.0,0.5,2000,1.0,0.0,0.50
pr08,0,150,10.0,2.5,0.5,0.1,10,0.5,0.5,100,0.7,0.75,1.0
pr08,1,200,0.001,1.5,0.6,0.15,5,1.0,0.1,500,0.8,0.75,1.0
pr08,2,100,0.5,4.0,1.0,0.05,20,0.25,0.5,200,0.7,0.50,0.50
pr08,3,50,0.1,1.5,1.0,0.1,10,0.2,0.25,400,0.6,0.50,0.50
pr08,4,200,0.001,1.0,1.0,0.15,10,0.25,1.0,400,0.6,0.50,0.75
pr08,5,150,0.05,1.5,1.0,0.20,20,0.1,1.0,400,0.7,0.25,1.0
pr08,6,200,10.0,1.0,1.0,0.20,20,0.75,0.75,500,0.8,0.33,0.75
pr08,7,10,0.05,3.0,0.75,0.20,10,0.5,0.25,200,0.6,0.75,0.50
pr08,8,50,0.1,0.5,1.0,0.1,2,0.2,1.0,100,0.6,0.25,0.75
pr08,9,10,0.01,1.0,0.75,0.15,5,0.75,0.5,100,0.9,0.75,0.25
pr09,0,150,0.05,2.0,0.6,0.01,2,1.0,0.1,500,0.6,0.75,0.50
pr09,1,50,0.01,3.0,1.0,0.15,2,0.75,0.5,500,0.8,0.25,0.0
pr09,2,50,0.01,3.0,1.0,0.05,2,0.75,0.2,400,0.9,1.0,0.50
pr09,3,50,10.0,2.5,0.4,0.15,1,1.0,0.1,1000,0.7,0.0,0.0
pr09,4,100,0.1,4.0,1.0,0.05,2,1.0,0.75,200,0.6,0.50,1.0
pr09,5,50,0.1,1.0,1.0,0.01,1,0.5,0.25,400,0.8,0.25,0.25
pr09,6,100,0.1,1.0,1.0,0.05,1,0.75,1.0,200,0.8,1.0,0.75
pr09,7,150,0.05,4.0,0.5,0.01,1,0.75,0.75,100,1.0,0.25,0.25
pr09,8,50,0.001,2.0,0.75,0.1,1,0.5,0.5,400,0.6,0.25,0.75
pr09,9,100,0.05,1.5,0.75,0.01,1,1.0,0.1,400,0.7,0.33,0.33
pr10,0,150,1.0,0.5,0.75,0.1,2,1.0,1.0,100,0.9,0.75,1.0
pr10,1,200,0.5,0.5,1.0,0.1,2,0.75,0.5,50,0.7,0.75,0.0
pr10,2,200,10.0,1.5,1.0,0.1,20,0.5,0.2,200,0.7,1.0,0.33
pr10,3,100,0.1,2.0,1.0,0.1,10,0.1,1.0,100,0.6,0.50,1.0
pr10,4,150,0.05,2.5,1.0,0.1,10,0.1,1.0,100,0.6,0.25,0.75
pr10,5,100,0.1,4.0,1.0,0.20,5,0.25,1.0,50,0.7,0.25,0.75
pr10,6,10,0.001,1.5,1.0,0.20,10,1.0,1.0,100,0.8,0.33,1.0
pr10,7,150,0.01,3.0,1.0,0.15,5,0.5,0.5,100,0.6,0.50,0.75
pr10,8,50,0.01,4.0,0.75,0.15,1,0.1,0.25,100,0.6,1.0,0.33
pr10,9,200,0.1,1.5,1.0,0.15,10,0.1,0.5,200,0.6,0.75,0.75
