instance,client_number,dist_centroid_depot_1,dist_centroid_depot_2,dist_centroid_depot_3,dist_centroid_depot_4,avg_dist_centroid_depots,avg_avg_dist_to_depots,avg_dist_min_to_depots,avg_dist_max_to_depots,avg_dist_to_depot_1,cv_dist_to_depot_1,avg_dist_to_depot_2,cv_dist_to_depot_2,avg_dist_to_depot_3,cv_dist_to_depot_3,avg_dist_to_depot_4,cv_dist_to_depot_4,avg_cv_dist_to_depots,average_distance_to_centroid,cv_distance_to_centroid,ratio_mean_client_demand_capacity,ratio_cv_client_demand_capacity,average_clients_per_vehicle,avg_NN_distances,cv_NN_distances,optimal_min_samples,cluster_ratio,outlier_ratio,avg_clients_per_cluster,cv_clients_per_cluster,intra_cluster_distance,inter_cluster_distance
p01,50.0,0.2594,0.055,0.1869,0.2919,0.1983,0.1489,0.0415,0.271,0.1527,0.3571,0.1895,0.5534,0.1078,0.5284,0.1458,0.5506,0.4974,0.2514,0.4247,[0.1942],[0.6419],3.125,0.0753,0.0022,2,0.26,0.24,0.0769,0.014,0.0626,0.0704
p02,50.0,0.2594,0.055,0.1869,0.2919,0.1983,0.1489,0.0415,0.271,0.1527,0.3571,0.1895,0.5534,0.1078,0.5284,0.1458,0.5506,0.4974,0.2514,0.4247,[0.0971],[0.321],6.25,0.0753,0.0022,2,0.26,0.24,0.0769,0.014,0.0626,0.0704
p13,80.0,0.3281,0.3281,0.66,0.4476,0.3281,0.2198,0.0597,0.4218,0.2236,0.2864,0.216,0.3031,0.2542,0.3083,0.3019,0.2723,0.2948,0.3775,0.2439,[0.09],[1.259],8.0,0.0683,0.001,14,0.025,0.0,0.5,0.0009,0.2163,0.3277,0.4634,0.3161,0.3271
p14,80.0,0.3281,0.3281,0.66,0.4476,0.3281,0.2198,0.0597,0.4218,0.2236,0.2864,0.216,0.3031,0.2542,0.3083,0.3019,0.2723,0.2948,0.3775,0.2439,[0.09],[1.259],8.0,0.0683,0.001,14,0.025,0.0,0.5,0.0009,0.2163,0.3277,0.4634,0.3161,0.3271
p15,160.0,0.3438,0.3438,0.3438,0.3438,0.3438,0.163,0.0442,0.3125,0.1719,0.198,0.16,0.2246,0.16,0.2246,0.16,0.2246,0.2179,0.3662,0.154,[0.09],[1.259],8.0,0.0501,0.0008,14,0.025,0.0,0.25,0.0006,0.1606,0.2419,0.4634,0.3161,0.3271
p16,160.0,0.3438,0.3438,0.3438,0.3438,0.3438,0.163,0.0442,0.3125,0.1719,0.198,0.16,0.2246,0.16,0.2246,0.16,0.2246,0.2179,0.3662,0.154,[0.09],[1.259],8.0,0.0501,0.0008,14,0.025,0.0,0.25,0.0006,0.1606,0.2419,0.4634,0.3161,0.3271
p17,160.0,0.3438,0.3438,0.3438,0.3438,0.3438,0.163,0.0442,0.3125,0.1719,0.198,0.16,0.2246,0.16,0.2246,0.16,0.2246,0.2179,0.3662,0.154,[0.09],[1.259],8.0,0.0501,0.0008,14,0.025,0.0,0.25,0.0006,0.1606,0.2419,0.4634,0.3161,0.3271
p18,240.0,0.2431,0.5435,0.5435,0.2431,0.4434,0.1632,0.0442,0.3125,0.1789,0.1816,0.16,0.2246,0.16,0.2246,0.16,0.2246,0.2174,0.4655,0.1703,[0.09],[1.259],8.0,0.05,0.0008,14,0.025,0.0,0.1667,0.0005,0.1607,0.2418,0.5435,0.16,0.2246,0.5435,0.16,0.2246
p19,240.0,0.2431,0.5435,0.5435,0.2431,0.4434,0.1632,0.0442,0.3125,0.1789,0.1816,0.16,0.2246,0.16,0.2246,0.16,0.2246,0.2174,0.4655,0.1703,[0.09],[1.259],8.0,0.05,0.0008,14,0.025,0.0,0.1667,0.0005,0.1607,0.2418,0.5435,0.16,0.2246,0.5435,0.16,0.2246
p20,240.0,0.2431,0.5435,0.5435,0.2431,0.4434,0.1632,0.0442,0.3125,0.1789,0.1816,0.16,0.2246,0.16,0.2246,0.16,0.2246,0.2174,0.4655,0.1703,[0.09],[1.259],8.0,0.05,0.0008,14,0.025,0.0,0.1667,0.0005,0.1607,0.2418,0.5435,0.16,0.2246,0.5435,0.16,0.2246
p21,360.0,0.0,0.4861,0.6875,0.4861,0.5216,0.1632,0.0491,0.3125,0.1887,0.1608,0.16,0.2246,0.16,0.2246,0.16,0.2246,0.2175,0.5523,0.1646,[0.09],[1.259],8.0,0.0499,0.0008,14,0.025,0.0,0.1111,0.0003,0.1608,0.242,0.6875,0.16,0.2246,0.4861,0.16,0.2246,0.6875,0.4861,0.6875,0.16,0.2246,0.16,0.2246,0.16,0.2246
p22,360.0,0.0,0.4861,0.6875,0.4861,0.5216,0.1632,0.0491,0.3125,0.1887,0.1608,0.16,0.2246,0.16,0.2246,0.16,0.2246,0.2175,0.5523,0.1646,[0.09],[1.259],8.0,0.0499,0.0008,14,0.025,0.0,0.1111,0.0003,0.1608,0.242,0.6875,0.16,0.2246,0.4861,0.16,0.2246,0.6875,0.4861,0.6875,0.16,0.2246,0.16,0.2246,0.16,0.2246
p23,360.0,0.0,0.4861,0.6875,0.4861,0.5216,0.1632,0.0491,0.3125,0.1887,0.1608,0.16,0.2246,0.16,0.2246,0.16,0.2246,0.2175,0.5523,0.1646,[0.09],[1.259],8.0,0.0499,0.0008,14,0.025,0.0,0.1111,0.0003,0.1608,0.242,0.6875,0.16,0.2246,0.4861,0.16,0.2246,0.6875,0.4861,0.6875,0.16,0.2246,0.16,0.2246,0.16,0.2246
